Input1,Input2,Output
19,100,25
32,39,62
151,17,128
19,140,17
17,128,21
25,52,44
62,22,116
140,17,150
128,21,71
52,44,27
22,116,18
17,150,18
21,71,32
44,27,88
116,18,159
150,18,98
71,32,36
27,88,19
18,159,16
18,98,25
32,36,61
88,19,146
159,16,132
36,61,21
61,21,113
146,17,161
132,19,76
21,113,16
17,161,16
19,76,28
41,28,77
113,16,163
161,16,114
28,77,19
16,163,15
16,114,20
28,39,47
77,19,132
114,20,62
39,47,24
19,132,15
15,156,16
20,62,30
47,24,86
132,15,173
156,16,102
62,30,34
24,86,16
15,173,13
16,102,19
30,34,50
86,16,141
173,13,154
102,19,57
13,154,14
19,57,27
50,21,87
141,13,179
57,27,33
21,87,15
13,179,12
14,103,18
27,33,45
179,12,166
103,18,61
33,45,20
15,136,12
12,166,13
18,61,23
