Input1,Input2,Output
151,17,128
100,25,52
39,62,22
19,140,17
17,128,21
62,22,116
140,17,150
128,21,71
52,44,27
17,150,18
21,71,32
44,27,88
116,18,159
150,18,98
71,32,36
27,88,19
18,159,16
18,98,25
32,36,61
88,19,146
159,16,132
98,25,52
19,146,17
16,132,19
25,52,41
61,21,113
146,17,161
132,19,76
52,41,28
17,161,16
41,28,77
113,16,163
161,16,114
76,28,39
28,77,19
16,163,15
16,114,20
28,39,47
77,19,132
163,15,156
39,47,24
19,132,15
15,156,16
20,62,30
47,24,86
132,15,173
156,16,102
62,30,34
24,86,16
15,173,13
16,102,19
30,34,50
173,13,154
102,19,57
34,50,21
16,141,13
19,57,27
50,21,87
141,13,179
154,14,103
57,27,33
21,87,15
13,179,12
27,33,45
87,15,136
179,12,166
12,166,13
18,61,23
45,20,0
