Input1,Input2,Output
148,19,100
79,32,39
32,82,19
18,151,17
19,100,25
32,39,62
82,19,140
151,17,128
100,25,52
39,62,22
25,52,44
62,22,116
52,44,27
22,116,18
21,71,32
116,18,159
150,18,98
27,88,19
18,159,16
18,98,25
32,36,61
88,19,146
159,16,132
98,25,52
36,61,21
19,146,17
16,132,19
25,52,41
61,21,113
52,41,28
21,113,16
19,76,28
41,28,77
113,16,163
161,16,114
76,28,39
28,77,19
16,163,15
28,39,47
77,19,132
163,15,156
114,20,62
39,47,24
15,156,16
20,62,30
156,16,102
24,86,16
15,173,13
16,102,19
30,34,50
86,16,141
173,13,154
102,19,57
34,50,21
16,141,13
13,154,14
19,57,27
141,13,179
154,14,103
57,27,33
21,87,15
13,179,12
14,103,18
87,15,136
179,12,166
103,18,61
33,45,20
15,136,12
18,61,23
45,20,0
